Rewards,Lengths,Loss,Q1,Best_Distances
81.8,154,0.64939,5.65349,898
59.15,101,0.5762,5.62412,676
61.9,91,0.48143,5.70133,694
104.25,171,0.73206,5.6001,1130
134.2,178,0.59618,5.63018,1435
133.4,232,0.71123,5.5839,1433
103.65,167,0.58083,5.52062,1128
23.6,35,0.63604,5.57079,300
63.15,99,0.54153,5.5752,711
22.55,44,0.60823,5.49155,288
61.5,120,0.69116,5.48836,695
25.0,34,0.40743,5.5822,314
104.5,164,0.52676,5.58883,1128
23.6,33,0.75265,5.43806,304
168.1,200,0.54433,5.55421,1783
132.25,239,0.64732,5.55191,1423
61.2,96,0.61117,5.55225,683
62.8,83,0.60469,5.56847,706
61.85,84,0.61789,5.54913,695
63.2,83,0.49513,5.59987,706
24.3,38,0.61894,5.5907,303
62.9,87,0.7965,5.54448,709
60.7,93,0.47917,5.53169,683
61.95,69,0.65973,5.55581,687
75.5,186,0.64644,5.55206,849
103.25,186,0.57098,5.59188,1128
25.0,31,0.44602,5.64492,314
63.1,84,0.61967,5.58212,705
22.7,43,0.42087,5.59882,292
134.6,178,0.5903,5.56555,1434
25.2,30,0.59919,5.67253,315
72.45,136,0.74559,5.5505,807
60.8,76,0.71828,5.52708,685
60.7,98,0.69971,5.59482,683
24.25,35,0.66897,5.48488,309
24.9,35,0.59411,5.53815,313
104.85,152,0.59023,5.61572,1127
62.35,88,0.59397,5.64967,706
64.15,94,0.68065,5.5964,709
24.25,31,0.40265,5.60583,314
25.0,34,0.62036,5.64371,309
77.45,147,0.70262,5.57996,859
60.35,69,0.70696,5.63866,682
62.5,82,0.43446,5.58164,699
62.45,97,0.7835,5.55094,698
132.85,271,0.54035,5.61978,1438
23.3,38,0.45587,5.65942,303
63.45,103,0.58946,5.57762,705
59.65,65,0.70226,5.61807,675
25.1,31,0.41584,5.53531,315
60.9,98,0.57227,5.61282,686
105.8,141,0.63527,5.59196,1138
133.95,177,0.5332,5.5929,1435
24.85,33,0.47513,5.61382,310
80.95,157,0.72686,5.58237,899
22.65,39,0.51583,5.64352,293
