Rewards,Lengths,Loss,Q1,Best_Distances
24.85,33,1.01276,5.3798,315
25.0,30,0.98819,5.43012,314
79.2,255,0.98589,5.42328,898
25.0,30,0.73938,5.49741,314
25.0,30,1.05404,5.51606,314
24.8,29,0.5272,5.4807,311
63.7,152,0.72623,5.52282,723
25.0,30,0.9322,5.42258,313
24.8,29,1.0933,5.38399,311
24.7,30,0.82512,5.42712,310
25.2,31,0.46198,5.49839,316
104.4,179,0.78619,5.50364,1130
60.2,61,0.5481,5.56197,677
22.5,43,1.14607,5.48983,291
25.0,30,0.76887,5.36612,314
61.55,69,0.80495,5.47269,684
62.35,79,0.85689,5.43516,699
25.0,30,0.40619,5.53018,314
25.1,34,0.72788,5.603,315
59.1,167,0.73294,5.50849,682
25.0,30,0.87059,5.527,314
24.4,35,0.88014,5.46794,309
25.4,30,0.65185,5.49251,313
23.5,33,0.49033,5.59013,304
25.0,30,0.82928,5.65002,314
24.9,29,1.09613,5.57754,312
62.0,138,0.86389,5.52016,705
25.0,30,0.90998,5.58759,314
25.2,30,0.55285,5.54476,311
24.8,30,0.6584,5.53323,312
24.3,30,0.75786,5.54902,312
25.2,30,0.68466,5.58596,315
104.8,150,0.73094,5.54432,1128
24.7,31,0.54064,5.5919,316
134.45,166,0.7636,5.55867,1433
24.65,31,0.68185,5.60398,313
24.7,31,0.9127,5.5902,311
24.8,30,0.93414,5.54945,312
24.8,30,0.9171,5.53011,312
62.6,92,0.85036,5.53713,697
24.6,31,0.51738,5.58346,315
24.9,31,0.98031,5.61204,313
104.0,171,0.75249,5.5585,1124
25.2,30,0.86296,5.57632,315
76.0,138,0.72406,5.5535,840
24.1,29,1.04792,5.59058,314
60.0,139,0.61629,5.61193,685
24.8,30,0.57564,5.58304,312
24.2,35,0.86902,5.53702,307
25.0,31,0.83782,5.57861,314
104.45,159,0.75439,5.55358,1129
75.25,229,0.8249,5.55971,853
24.7,32,1.12665,5.52986,316
64.0,136,0.73037,5.53874,723
25.0,30,0.73568,5.56739,314
25.2,31,0.53111,5.56422,316
61.55,108,0.62741,5.56978,692
60.85,92,0.80614,5.57811,687
25.0,30,0.93362,5.54754,314
104.1,163,0.72503,5.57614,1129
62.55,95,0.89676,5.47793,700
58.5,218,0.82068,5.57439,686
61.25,165,0.80539,5.58275,706
25.0,30,1.21502,5.61522,314
62.2,94,0.70951,5.53956,698
25.0,30,0.51098,5.60728,314
62.7,107,0.88858,5.5769,706
24.9,30,0.74223,5.57329,313
25.0,30,0.72747,5.61888,314
24.9,30,0.52004,5.63439,313
62.4,104,0.65082,5.62032,702
105.65,201,0.69546,5.63005,1152
24.55,30,1.32962,5.53585,311
25.5,30,0.48477,5.47791,314
24.5,30,0.98233,5.58572,314
24.8,30,1.22727,5.61694,312
24.9,30,0.77385,5.60049,313
25.0,30,0.67655,5.60981,314
60.4,115,0.87164,5.59576,685
61.25,65,1.09119,5.54482,676
60.3,89,0.92017,5.54765,683
